zaman,tip,gorus,tavan,sicaklik,cig_noktasi,ruzgar_yon,ruzgar_hiz,ruzgar_hamle,qnh,hava,cavok
2026-09-23T13:01:00+00:00,SPECI,9999,2300,15,12,360,11,,1018,-SHRA,0
2026-09-23T13:50:00+00:00,METAR,9999,2300,15,12,50,6,,1019,-SHRA,0
2026-09-23T14:20:00+00:00,METAR,9999,2300,15,12,60,5,,1019,,0
2026-09-23T14:50:00+00:00,METAR,9999,2300,15,13,130,4,,1019,,0
2026-09-23T15:20:00+00:00,METAR,9999,12000,15,12,140,4,,1019,,0
2026-09-23T15:50:00+00:00,METAR,9999,12000,15,12,150,4,,1019,,0
2026-09-23T16:20:00+00:00,METAR,9999,12000,14,13,170,4,,1019,,0
2026-09-23T16:50:00+00:00,METAR,9999,10000,14,12,,2,,1020,,0
2026-09-23T17:20:00+00:00,METAR,9999,10000,14,12,,2,,1020,,0
2026-09-23T17:50:00+00:00,METAR,9999,,13,11,70,8,,1020,,0
2026-09-23T18:20:00+00:00,METAR,9999,,12,10,,2,,1020,,0
2026-09-23T18:50:00+00:00,METAR,9999,,12,10,40,3,,1020,,0
2026-09-23T19:20:00+00:00,METAR,9999,,13,10,,1,,1020,,0
2026-09-23T19:50:00+00:00,METAR,10000,,13,10,0,0,,1020,,1
2026-09-23T20:20:00+00:00,METAR,10000,,13,10,0,0,,1020,,1
2026-09-23T20:50:00+00:00,METAR,10000,,13,10,,1,,1020,,1
2026-09-23T21:20:00+00:00,METAR,10000,,13,11,0,0,,1020,,1
2026-09-23T21:50:00+00:00,METAR,10000,,12,11,0,0,,1020,,1
2026-09-23T22:20:00+00:00,METAR,10000,,13,11,,2,,1020,,1
2026-09-23T22:50:00+00:00,METAR,10000,,13,11,0,0,,1020,,1
2026-09-23T23:20:00+00:00,METAR,10000,,12,11,0,0,,1020,,1
2026-09-23T23:50:00+00:00,METAR,10000,,12,10,0,0,,1020,,1
